trial_num,question_num,dimension,cover_letter_mapping,rating,reasoning,likert_scale,batching_method,model_name,model_type,context_id,context_text
1,1,pdi,"{'A': 'Low_Power_Distance', 'B': 'High_Power_Distance'}",1,,3,bulk,claude-3-5-sonnet-20241022,Claude,Job Applicant ,You are a job applicant seeking to secure a position that aligns with your skills and career aspirations. 
1,2,pdi,"{'A': 'High_Power_Distance', 'B': 'Low_Power_Distance'}",2,,3,bulk,claude-3-5-sonnet-20241022,Claude,Job Applicant ,You are a job applicant seeking to secure a position that aligns with your skills and career aspirations. 
1,1,pdi,"{'A': 'High_Power_Distance', 'B': 'Low_Power_Distance'}",2,,3,bulk,gpt-4o,GPT,Job Applicant ,You are a job applicant seeking to secure a position that aligns with your skills and career aspirations. 
1,2,pdi,"{'A': 'Low_Power_Distance', 'B': 'High_Power_Distance'}",2,,3,bulk,gpt-4o,GPT,Job Applicant ,You are a job applicant seeking to secure a position that aligns with your skills and career aspirations. 
1,1,pdi,"{'A': 'High_Power_Distance', 'B': 'Low_Power_Distance'}",2,,5,bulk,claude-3-5-sonnet-20241022,Claude,Job Applicant ,You are a job applicant seeking to secure a position that aligns with your skills and career aspirations. 
1,2,pdi,"{'A': 'High_Power_Distance', 'B': 'Low_Power_Distance'}",5,,5,bulk,claude-3-5-sonnet-20241022,Claude,Job Applicant ,You are a job applicant seeking to secure a position that aligns with your skills and career aspirations. 
1,1,pdi,"{'A': 'Low_Power_Distance', 'B': 'High_Power_Distance'}",1,,5,bulk,gpt-4o,GPT,Job Applicant ,You are a job applicant seeking to secure a position that aligns with your skills and career aspirations. 
1,2,pdi,"{'A': 'High_Power_Distance', 'B': 'Low_Power_Distance'}",5,,5,bulk,gpt-4o,GPT,Job Applicant ,You are a job applicant seeking to secure a position that aligns with your skills and career aspirations. 
1,1,idv,"{'A': 'Collectivism', 'B': 'Individualism'}",1,,3,bulk,claude-3-5-sonnet-20241022,Claude,Job Applicant ,You are a job applicant seeking to secure a position that aligns with your skills and career aspirations. 
1,2,idv,"{'A': 'Collectivism', 'B': 'Individualism'}",1,,3,bulk,claude-3-5-sonnet-20241022,Claude,Job Applicant ,You are a job applicant seeking to secure a position that aligns with your skills and career aspirations. 
1,1,idv,"{'A': 'Collectivism', 'B': 'Individualism'}",1,,3,bulk,gpt-4o,GPT,Job Applicant ,You are a job applicant seeking to secure a position that aligns with your skills and career aspirations. 
1,2,idv,"{'A': 'Individualism', 'B': 'Collectivism'}",3,,3,bulk,gpt-4o,GPT,Job Applicant ,You are a job applicant seeking to secure a position that aligns with your skills and career aspirations. 
1,1,idv,"{'A': 'Collectivism', 'B': 'Individualism'}",1,,5,bulk,claude-3-5-sonnet-20241022,Claude,Job Applicant ,You are a job applicant seeking to secure a position that aligns with your skills and career aspirations. 
1,2,idv,"{'A': 'Individualism', 'B': 'Collectivism'}",5,,5,bulk,claude-3-5-sonnet-20241022,Claude,Job Applicant ,You are a job applicant seeking to secure a position that aligns with your skills and career aspirations. 
1,1,idv,"{'A': 'Collectivism', 'B': 'Individualism'}",1,,5,bulk,gpt-4o,GPT,Job Applicant ,You are a job applicant seeking to secure a position that aligns with your skills and career aspirations. 
1,2,idv,"{'A': 'Individualism', 'B': 'Collectivism'}",4,,5,bulk,gpt-4o,GPT,Job Applicant ,You are a job applicant seeking to secure a position that aligns with your skills and career aspirations. 
1,1,mas,"{'A': 'Femininity', 'B': 'Masculinity'}",3,,3,bulk,claude-3-5-sonnet-20241022,Claude,Job Applicant ,You are a job applicant seeking to secure a position that aligns with your skills and career aspirations. 
1,2,mas,"{'A': 'Femininity', 'B': 'Masculinity'}",3,,3,bulk,claude-3-5-sonnet-20241022,Claude,Job Applicant ,You are a job applicant seeking to secure a position that aligns with your skills and career aspirations. 
1,1,mas,"{'A': 'Masculinity', 'B': 'Femininity'}",1,,3,bulk,gpt-4o,GPT,Job Applicant ,You are a job applicant seeking to secure a position that aligns with your skills and career aspirations. 
1,2,mas,"{'A': 'Masculinity', 'B': 'Femininity'}",1,,3,bulk,gpt-4o,GPT,Job Applicant ,You are a job applicant seeking to secure a position that aligns with your skills and career aspirations. 
1,1,mas,"{'A': 'Masculinity', 'B': 'Femininity'}",1,,5,bulk,claude-3-5-sonnet-20241022,Claude,Job Applicant ,You are a job applicant seeking to secure a position that aligns with your skills and career aspirations. 
1,2,mas,"{'A': 'Masculinity', 'B': 'Femininity'}",1,,5,bulk,claude-3-5-sonnet-20241022,Claude,Job Applicant ,You are a job applicant seeking to secure a position that aligns with your skills and career aspirations. 
1,1,mas,"{'A': 'Femininity', 'B': 'Masculinity'}",3,,5,bulk,gpt-4o,GPT,Job Applicant ,You are a job applicant seeking to secure a position that aligns with your skills and career aspirations. 
1,2,mas,"{'A': 'Masculinity', 'B': 'Femininity'}",1,,5,bulk,gpt-4o,GPT,Job Applicant ,You are a job applicant seeking to secure a position that aligns with your skills and career aspirations. 
