Dimensions,Num_Dimensions,Observed_ARI,P_value
pdi,1,0.0,1.0
idv,1,1.0,0.22
mas,1,1.0,0.22
uai,1,1.0,0.22
lto,1,-0.3333333333333333,1.0
ivr,1,1.0,0.22
"pdi,idv",2,0.0,1.0
"pdi,mas",2,-0.3333333333333333,1.0
"pdi,uai",2,0.0,1.0
"pdi,lto",2,-0.3333333333333333,1.0
"pdi,ivr",2,1.0,0.22
"idv,mas",2,1.0,0.22
"idv,uai",2,1.0,0.22
"idv,lto",2,0.0,1.0
"idv,ivr",2,1.0,0.22
"mas,uai",2,1.0,0.22
"mas,lto",2,-0.3333333333333333,1.0
"mas,ivr",2,1.0,0.22
"uai,lto",2,0.0,1.0
"uai,ivr",2,1.0,0.22
"lto,ivr",2,0.0,1.0
"pdi,idv,mas",3,1.0,0.22
"pdi,idv,uai",3,1.0,0.22
"pdi,idv,lto",3,0.0,1.0
"pdi,idv,ivr",3,1.0,0.22
"pdi,mas,uai",3,1.0,0.22
"pdi,mas,lto",3,-0.3333333333333333,1.0
"pdi,mas,ivr",3,1.0,0.22
"pdi,uai,lto",3,0.0,1.0
"pdi,uai,ivr",3,1.0,0.22
"pdi,lto,ivr",3,-0.3333333333333333,1.0
"idv,mas,uai",3,1.0,0.22
"idv,mas,lto",3,1.0,0.22
"idv,mas,ivr",3,1.0,0.22
"idv,uai,lto",3,1.0,0.22
"idv,uai,ivr",3,1.0,0.22
"idv,lto,ivr",3,1.0,0.22
"mas,uai,lto",3,0.0,1.0
"mas,uai,ivr",3,1.0,0.22
"mas,lto,ivr",3,1.0,0.22
"uai,lto,ivr",3,1.0,0.22
"pdi,idv,mas,uai",4,1.0,0.22
"pdi,idv,mas,lto",4,0.0,1.0
"pdi,idv,mas,ivr",4,1.0,0.22
"pdi,idv,uai,lto",4,0.0,1.0
"pdi,idv,uai,ivr",4,1.0,0.22
"pdi,idv,lto,ivr",4,1.0,0.22
"pdi,mas,uai,lto",4,0.0,1.0
"pdi,mas,uai,ivr",4,1.0,0.22
"pdi,mas,lto,ivr",4,0.0,1.0
"pdi,uai,lto,ivr",4,0.0,1.0
"idv,mas,uai,lto",4,1.0,0.22
"idv,mas,uai,ivr",4,1.0,0.22
"idv,mas,lto,ivr",4,1.0,0.22
"idv,uai,lto,ivr",4,1.0,0.22
"mas,uai,lto,ivr",4,1.0,0.22
"pdi,idv,mas,uai,lto",5,1.0,0.22
"pdi,idv,mas,uai,ivr",5,1.0,0.22
"pdi,idv,mas,lto,ivr",5,1.0,0.22
"pdi,idv,uai,lto,ivr",5,1.0,0.22
"pdi,mas,uai,lto,ivr",5,1.0,0.22
"idv,mas,uai,lto,ivr",5,1.0,0.22
